type,name,iso_country,iata_code
large_airport,Pointe-Ã -Pitre Le Raizet,GP,PTP
large_airport,Luis Munoz Marin International Airport,PR,SJU
large_airport,Enfidha - Hammamet International Airport,TN,NBE
large_airport,Princess Juliana International Airport,SX,SXM
large_airport,Almaty Airport,KZ,ALA
large_airport,Astana International Airport,KZ,TSE
large_airport,Manas International Airport,KG,FRU
large_airport,Sary-Arka Airport,KZ,KGF
large_airport,Heydar Aliyev International Airport,AZ,GYD
large_airport,Zvartnots International Airport,AM,EVN
large_airport,Tbilisi International Airport,GE,TBS
large_airport,Khabarovsk-Novy Airport,RU,KHV
large_airport,Boryspil International Airport,UA,KBP
large_airport,Simferopol International Airport,UA,SIP
large_airport,Kharkiv International Airport,UA,HRK
large_airport,Odessa International Airport,UA,ODS
large_airport,Pulkovo Airport,RU,LED
large_airport,Minsk National Airport,BY,MSQ
large_airport,Yemelyanovo Airport,RU,KJA
large_airport,Tolmachevo Airport,RU,OVB
large_airport,Platov International Airport,RU,ROV
large_airport,Sochi International Airport,RU,AER
large_airport,Koltsovo Airport,RU,SVX
large_airport,Ashgabat International Airport,TM,ASB
large_airport,Tashkent International Airport,UZ,TAS
large_airport,Zhukovsky International Airport,RU,ZIA
large_airport,Domodedovo International Airport,RU,DME
large_airport,Sheremetyevo International Airport,RU,SVO
large_airport,Vnukovo International Airport,RU,VKO
large_airport,Kazan International Airport,RU,KZN
large_airport,Ufa International Airport,RU,UFA
large_airport,Kurumoch International Airport,RU,KUF
large_airport,Chhatrapati Shivaji International Airport,IN,BOM
large_airport,Dabolim Airport,IN,GOI
large_airport,Bandaranaike International Colombo Airport,LK,CMB
large_airport,Mattala Rajapaksa International Airport,LK,HRI
large_airport,Phnom Penh International Airport,KH,PNH
large_airport,Siem Reap International Airport,KH,REP
large_airport,Netaji Subhash Chandra Bose International Airport,IN,CCU
large_airport,Hazrat Shahjalal International Airport,BD,DAC
large_airport,Hong Kong International Airport,HK,HKG
large_airport,Sri Guru Ram Dass Jee International Airport,IN,ATQ
large_airport,Indira Gandhi International Airport,IN,DEL
large_airport,Macau International Airport,MO,MFM
large_airport,Tribhuvan International Airport,NP,KTM
large_airport,Kempegowda International Airport,IN,BLR
large_airport,Cochin International Airport,IN,COK
large_airport,Calicut International Airport,IN,CCJ
large_airport,Rajiv Gandhi International Airport,IN,HYD
large_airport,Chennai International Airport,IN,MAA
large_airport,Trivandrum International Airport,IN,TRV
large_airport,MalÃ© International Airport,MV,MLE
large_airport,Don Mueang International Airport,TH,DMK
large_airport,Suvarnabhumi Airport,TH,BKK
large_airport,Chiang Mai International Airport,TH,CNX
large_airport,Phuket International Airport,TH,HKT
large_airport,Da Nang International Airport,VN,DAD
large_airport,Noi Bai International Airport,VN,HAN
large_airport,Tan Son Nhat International Airport,VN,SGN
large_airport,Mandalay International Airport,MM,MDL
large_airport,Yangon International Airport,MM,RGN
large_airport,Hasanuddin International Airport,ID,UPG
large_airport,Ngurah Rai (Bali) International Airport,ID,DPS
large_airport,Sentani International Airport,ID,DJJ
large_airport,Juanda International Airport,ID,SUB
large_airport,Dominique Edward Osok Airport,ID,SOQ
large_airport,Brunei International Airport,BN,BWN
large_airport,Soekarno-Hatta International Airport,ID,CGK
large_airport,Kualanamu International Airport,ID,KNO
large_airport,Kuala Lumpur International Airport,MY,KUL
large_airport,Singapore Changi Airport,SG,SIN
